TÊN ĐỊA DANH;Mã địa danh
Huyện Lâm Thao;25.237
Huyện Thanh Sơn;25.238
Huyện Thanh Thuỷ;25.239
Huyện Tân Sơn;25.240
Tỉnh Vĩnh Phúc;26
Thành phố Vĩnh Yên;26.243
Thị xã Phúc Yên;26.244
Huyện Lập Thạch;26.246
Huyện Tam Dương;26.247
Huyện Tam Đảo;26.248
Huyện Bình Xuyên;26.249
Huyện Yên Lạc;26.251
Huyện Vĩnh Tường;26.252
Huyện Sông Lô;26.253
Tỉnh Bắc Ninh;27
Thành phố Bắc Ninh;27.256
Huyện Yên Phong;27.258
Huyện Quế Võ;27.259
Huyện Tiên Du;27.260
Thị xã Từ Sơn;27.261
Huyện Thuận Thành;27.262
Huyện Gia Bình;27.263
Huyện Lương Tài;27.264
Tỉnh Hải Dương;30
Thành phố Hải Dương;30.288
Thị xã Chí Linh;30.290
Huyện Nam Sách;30.291
Huyện Kinh Môn;30.292
Huyện Kim Thành;30.293
Huyện Thanh Hà;30.294
Huyện Cẩm Giàng;30.295
Huyện Bình Giang;30.296
Huyện Gia Lộc;30.297
Huyện Tứ Kỳ;30.298
Huyện Ninh Giang;30.299
Huyện Thanh Miện;30.300
Thành phố Hải Phòng;31
Quận Hồng Bàng;31.303
Quận Ngô Quyền;31.304
Quận Lê Chân;31.305
Quận Hải An;31.306
Quận Kiến An;31.307
Quận Đồ Sơn;31.308
Quận Dương Kinh;31.309
Huyện Thuỷ Nguyên;31.311
Huyện An Dương;31.312
Huyện An Lão;31.313
Huyện Kiến Thuỵ;31.314
Huyện Tiên Lãng;31.315
Huyện Vĩnh Bảo;31.316
Huyện Cát Hải;31.317
Huyện Bạch Long Vĩ;31.318
Tỉnh Hưng Yên;33
Thành phố Hưng Yên;33.323
Huyện Văn Lâm;33.325
Huyện Văn Giang;33.326
Huyện Yên Mỹ;33.327
Huyện Mỹ Hào;33.328
Huyện Ân Thi;33.329
Huyện Khoái Châu;33.330
Huyện Kim Động;33.331
Huyện Tiên Lữ;33.332
Huyện Phù Cừ;33.333
Tỉnh Thái Bình;34
Thành phố Thái Bình;34.336
Huyện Quỳnh Phụ;34.338
Huyện Hưng Hà;34.339
Huyện Đông Hưng;34.340
Huyện Thái Thụy;34.341
Huyện Tiền Hải;34.342
Huyện Kiến Xương;34.343
Huyện Vũ Thư;34.344
Tỉnh Hà Nam;35
Thành phố Phủ Lý;35.347
Huyện Duy Tiên;35.349
Huyện Kim Bảng;35.350
Huyện Thanh Liêm;35.351
Huyện Bình Lục;35.352
Huyện Lý Nhân;35.353
Tỉnh Nam Định;36
Thành phố Nam Định;36.356
Huyện Mỹ Lộc;36.358
